year,阿鲁巴,阿富汗,安哥拉,阿尔巴尼亚,安道尔共和国,阿拉伯联合酋长国,阿根廷,亚美尼亚,美属萨摩亚,安提瓜和巴布达,澳大利亚,奥地利,阿塞拜疆,布隆迪,比利时,贝宁,布基纳法索,孟加拉国,保加利亚,巴林,巴哈马,波斯尼亚和黑塞哥维那,白俄罗斯,伯利兹,百慕大,玻利维亚,巴西,巴巴多斯,文莱达鲁萨兰国,不丹,博茨瓦纳,中非共和国,加拿大,瑞士,智利,中国,科特迪瓦,喀麦隆,刚果（金）,刚果（布）,哥伦比亚,科摩罗,佛得角,哥斯达黎加,古巴,库拉索,开曼群岛,塞浦路斯,捷克共和国,德国,吉布提,多米尼克,丹麦,多米尼加共和国,阿尔及利亚,厄瓜多尔,埃及,厄立特里亚,西班牙,爱沙尼亚,埃塞俄比亚,芬兰,斐济,法国,法罗群岛,密克罗尼西亚联邦,加蓬,英国,格鲁吉亚,加纳,直布罗陀,几内亚,冈比亚,几内亚比绍共和国,赤道几内亚,希腊,格林纳达,格陵兰,危地马拉,关岛,圭亚那,中国香港,洪都拉斯,克罗地亚,海地,匈牙利,印度尼西亚,马恩岛,印度,爱尔兰,伊朗,伊拉克,冰岛,以色列,意大利,牙买加,约旦,日本,哈萨克斯坦,肯尼亚,吉尔吉斯斯坦,柬埔寨,基里巴斯,圣基茨和尼维斯,大韩民国,科威特,老挝,黎巴嫩,利比里亚,利比亚,圣卢西亚,列支敦士登,斯里兰卡,莱索托,立陶宛,卢森堡,拉脱维亚,中国澳门,圣马丁（法属）,摩洛哥,摩纳哥,摩尔多瓦,马达加斯加,马尔代夫,墨西哥,马绍尔群岛,马其顿王国,马里,马耳他,缅甸,黑山,蒙古,北马里亚纳群岛,莫桑比克,毛里塔尼亚,毛里求斯,马拉维,马来西亚,纳米比亚,新喀里多尼亚,尼日尔,尼日利亚,尼加拉瓜,荷兰,挪威,尼泊尔,瑙魯,新西兰,阿曼,巴基斯坦,巴拿马,秘鲁,菲律宾,帕劳,巴布亚新几内亚,波兰,波多黎各,朝鲜,葡萄牙,巴拉圭,法属波利尼西亚,卡塔尔,罗马尼亚,俄罗斯,卢旺达,沙特阿拉伯,苏丹,塞内加尔,新加坡,所罗门群岛,塞拉利昂,萨尔瓦多,圣马力诺,索马里,塞尔维亚,南苏丹,圣多美和普林西比,苏里南,斯洛伐克共和国,斯洛文尼亚,瑞典,斯威士兰,圣马丁(荷属),塞舌尔,叙利亚,特克斯科斯群岛,乍得,多哥,泰国,塔吉克斯坦,土库曼斯坦,东帝汶,汤加,特立尼达和多巴哥,突尼斯,土耳其,图瓦卢,坦桑尼亚,乌干达,乌克兰,乌拉圭,美国,乌兹别克斯坦,圣文森特和格林纳丁斯,委内瑞拉玻利瓦尔共和国,英屬維爾京群島,美属维京群岛,越南,瓦努阿图,萨摩亚,科索沃,也门,南非,赞比亚,津巴布韦
2001,1920262570,2461665938,8936063723,4060758804,1496912752,1.03E+11,2.69E+11,2118467913,,800740259.3,3.78E+11,1.97E+11,5707720391,876794723.1,2.38E+11,2680213931,2812845514,53991289844,14075616789,8976207713,8317830000,5748990666,12354820144,871860600,3680483000,8141537938,5.59E+11,3116650000,5601090584,476360697.2,5489608300,931833302.8,7.36E+11,2.79E+11,70979923960,1.34E+12,11192560827,10371327756,7438189100,2794259783,98203546156,220093812.2,563024383.3,15913363335,31682400000,,,10567304189,67523642262,1.95E+12,572417440.8,343119370.4,1.65E+11,25599311449,54744714396,24468324000,97632008710,752368495.5,6.26E+11,6245069734,8231326016,1.29E+11,1660102346,1.38E+12,1154899793,240051900,5018874179,1.62E+12,3219487747,5314909954,,2833442750,687408804.6,392278168.2,1461139022,1.36E+11,520444185.2,1086172923,18702802395,,696281471.7,1.69E+11,7565869928,23289671102,3596443005,53821315066,1.60E+11,1614595291,4.79E+11,1.09E+11,1.27E+11,,8136345144,1.31E+11,1.16E+12,9178016493,8975689845,4.30E+12,22152694162,12986007426,1525112242,3984000517,63101272.37,461078078.1,5.33E+11,34890772742,1768619058,17649751244,521000000,34110064452,743808076,2491822707,15749753805,825706961.2,12252498921,21272418792,8350252966,6811227983,,39459581217,2671401083,1480656884,4529575348,870179738.6,7.57E+11,115152100,3709637830,3465305993,4331870648,6477790688,1159869246,1267997934,,4766928747,1295539448,4536538211,1716502862,92783947368,3546783708,,1945327565,44137994252,5323146566,4.27E+11,1.74E+11,6007061224,,53872425917,19452015605,72309738921,12502013400,52030158775,76262072468,155441800,3081024212,1.91E+11,69208400000,,1.22E+11,7662595076,,17538461538,40716836998,3.07E+11,1674685248,1.84E+11,13182979784,4877602060,89286208629,400463452.1,1090467712,12282533600,1160626398,,12267175481,,71630592.22,763465550.5,30703017450,20875387068,2.40E+11,1542477309,,622262057.2,21099833784,,1709347793,1332328999,1.20E+11,1080774007,3534803922,517685310,181244788.5,8824873259,22066101341,2.00E+11,13196544.95,10383560603,5840503869,38009344577,20898788417,1.06E+13,11401351420,430040370.4,1.23E+11,,,32685198735,257926881.7,273088357.2,2535333632,9854042165,1.22E+11,4094480988,6777384700
2002,1941094972,4128820723,12497347956,4435078648,1733116883,1.10E+11,97724004252,2376335048,514000000,814615333.3,3.94E+11,2.13E+11,6235795104,825394490.2,2.59E+11,3054571082,3205592290,54724081491,16276456428,9632155053,8881160000,6651226179,14594249023,932551850,3937228000,7905485077,5.08E+11,3169600000,5843329108,537050133.7,5438857107,991387870.1,7.58E+11,3.01E+11,69736811435,1.47E+12,12346919216,11579343088,8728038525,3019993739,97933391976,246737679.5,620974660.2,16504795453,33590500000,,,11618269231,81910771994,2.08E+12,591122039.6,337695740.7,1.79E+11,27362875603,56760288974,28548945000,87850683979,729321366.7,7.05E+11,7322069511,7850809498,1.40E+11,1842691481,1.49E+12,1268445919,241543400,5310381151,1.77E+12,3395739855,6166330136,,2949637039,578236035.1,415843482,1806742742,1.54E+11,540336925.9,1169138789,20776669467,3385000000,722460886.4,1.66E+11,7775078403,26878499206,3472191962,67716887203,1.96E+11,1897606791,5.08E+11,1.28E+11,1.29E+11,,9207689916,1.21E+11,1.27E+12,9694169757,9582453032,4.12E+12,24636593223,13147743911,1605640633,4284028483,72196457.68,483120194.3,6.09E+11,38137545245,1758176653,19152238806,543000000,20481889764,748346605.9,2688630823,16536535647,775780697.7,14278357284,23616328816,9546441564,7322677820,,42236836821,2905973022,1661818168,4397254608,897031250,7.72E+11,124735100,4018365247,3889758024,4689832690,6777632512,1284685051,1396555720,1284000000,5031510909,1324426607,4767303154,3495748398,1.01E+11,3361251198,,2170481509,59116847822,5224213018,4.65E+11,1.95E+11,6050875807,,66627729311,20142782835,72306820396,12994310400,54777553515,81357605642,161958700,2999511040,1.99E+11,71623500000,,1.34E+11,6325151760,,19363736264,46174557556,3.45E+11,1677552332,1.90E+11,14803189093,5333862371,91941192896,341661643.6,1253340520,12664190300,1253529080,,16116843146,,79863374.95,1078402128,35083608131,23563576758,2.64E+11,1432228125,,697518248.2,21582248882,,1987622279,1474630207,1.34E+11,1221113780,4461978499,510739436.3,182737040.1,9008273721,23142294436,2.38E+11,15450994.24,10805599893,6178563591,42392896031,13606494599,1.10E+13,9687951055,461883444.4,92893587734,,3269000000,35064105501,262603781.8,288078881.4,2702427047,10693278292,1.16E+11,4193845678,6342116400
2003,2021301676,4583644246,14188949398,5746945913,2398645598,1.24E+11,1.28E+11,2807061009,527000000,855643111.1,4.66E+11,2.62E+11,7276013032,784654423.6,3.19E+11,3905366188,4205691222,60158929188,20982685981,11074822074,8870090000,8370020196,17827791321,990374050,4186525000,8082364868,5.58E+11,3274850000,6557333085,622026107.8,7511582173,1139754799,8.92E+11,3.53E+11,75643459840,1.66E+12,15306602560,14548845765,8937567060,3495868808,94684584163,317562269.4,813963830.2,17195867540,35901200000,,,14576896942,99627140274,2.51E+12,622044665.5,350091222.2,2.18E+11,21642882856,67863829880,32432858000,82924503943,870247703.2,9.07E+11,9833870709,8623691300,1.71E+11,2315935753,1.84E+12,1486861879,245277400,6497305662,2.04E+12,3991281540,7632406553,,3446442219,487038821.6,476388260.6,2484745935,2.02E+11,591018407.4,1558768614,21917706491,3560000000,741929342.8,1.61E+11,8140271081,34658113497,2960306121,85324771841,2.35E+11,2264911807,6.00E+11,1.64E+11,1.54E+11,,11316441660,1.27E+11,1.57E+12,9399447609,10195660790,4.45E+12,30833699703,14904517650,1919012781,4658246918,90231856.8,465850739.6,6.81E+11,47875838926,2023324407,20082918740,416000000,26265625000,823837141.1,3070691320,18881765437,1157832935,18802576988,29557325056,11748433157,8195033162,,52064058834,3588988601,1980901554,5474030080,1052121055,7.29E+11,126887600,4946292775,4703504467,5456583589,10467109978,1707710053,1595297356,1239000000,5597367853,1563074860,5609831328,3208837077,1.10E+11,4931312147,,2731416346,67655813930,5322454926,5.72E+11,2.29E+11,6330473097,,88250885550,21633810143,83244801093,13693981200,58731030122,83908206648,152771900,3536411824,2.18E+11,74827400000,,1.65E+11,6588103836,,23533791209,59867801205,4.30E+11,1846198771,2.16E+11,17646503525,6858952880,97001377569,332738245.9,1385810072,13243892200,1600451467,,21188704081,,95544010.78,1271196078,46731767494,29697448108,3.31E+11,2197612701,,705704816,21828144686,,2736666516,1673690430,1.52E+11,1554125531,5977560877,543358124.6,202543202,11305459802,27453084983,3.12E+11,18231078.54,11659129889,6336696289,50132953288,12045631093,1.15E+13,10128112401,481806296.3,83620628582,,3453000000,39552513316,314463144,338838639.4,3355083117,11777768087,1.75E+11,4901839731,5727591800
2004,2228279330,5285465686,19640853734,7314865176,2935659300,1.48E+11,1.65E+11,3576615240,512000000,919577148.1,6.12E+11,3.01E+11,8680472169,915257323.4,3.71E+11,4521424807,4838551100,65108544250,25957970922,13150166755,9055290000,10022840635,23144351852,1057845500,4484703000,8773451739,6.69E+11,3514350000,7872333215,702682019,8957467707,1270080251,1.02E+12,3.94E+11,99210392858,1.96E+12,16554441847,17430933517,10297483481,4648628921,1.17E+11,368143118.7,924318490.8,18529767934,38203000000,,,17422375000,1.19E+11,2.82E+12,666072101.8,374771481.5,2.51E+11,22692574473,85324998814,36591661000,78845185293,1109054005,1.07E+12,12059201242,10131187261,1.97E+11,2727507213,2.12E+12,1683997930,240097000,7756293575,2.40E+12,5125363001,8881368538,,3666349049,578785951.4,531109356.2,4410764339,2.41E+11,599118592.6,1825157317,23965275996,3857000000,785918769.6,1.69E+11,8772194250,41574530816,3537720277,1.04E+11,2.57E+11,2758117365,7.00E+11,1.94E+11,1.90E+11,36627901762,13722824251,1.35E+11,1.80E+12,10150978155,11411390409,4.82E+12,43151647003,16095337094,2211535312,5337833248,102367039.3,502561629.6,7.65E+11,59440108585,2366398120,20955223881,474700000,33122307692,893107210.8,3454362686,20662525941,1511236656,22649930576,34685281848,14373269156,10585624891,,59626020162,4110348444,2598231467,4363934494,1226829563,7.82E+11,131334600,5682719260,5444474268,6062780269,10567354056,2073234418,1992066808,1210000000,6831808930,1833444740,6385695187,3476094499,1.25E+11,6606858786,,3052898739,87845420504,5795568205,6.51E+11,2.64E+11,7273938315,,1.04E+11,24763589077,97977766198,15013381700,66768703498,91371242496,164166000,3927157867,2.55E+11,80322313000,,1.89E+11,8033877360,,31734065934,76216441462,5.91E+11,2088961969,2.59E+11,21457470203,8031344381,1.14E+11,375111894.9,1448536631,13724810900,1877328036,,24861483281,,104486043.5,1484092538,57240535138,34470227454,3.82E+11,2770082792,,839319927.3,25086930693,,4414929220,1937074572,1.73E+11,2076148696,6838351088,1078398152,229358214.8,13280275123,31183139301,4.05E+11,21534931.61,12825801581,7940362799,64883060726,13686329890,1.23E+13,12030023548,521975111.1,1.12E+11,,3799000000,45427854693,364996869.1,420320176.4,3639935348,13873500888,2.29E+11,6221077675,5805598400
2005,2331005587,6275073572,28233712738,8158548717,3255789081,1.81E+11,1.99E+11,4900469950,503000000,1022191296,6.93E+11,3.16E+11,13245716099,1117257279,3.87E+11,4803702821,5462709498,69442943089,29636617750,15968726862,9836200000,11225138297,30207567317,1114222550,4868136000,9549077869,8.92E+11,3897300000,9531402848,818869145.1,9931134941,1337362392,1.17E+12,4.09E+11,1.23E+11,2.29E+12,17084928927,17944084201,11964484668,6087003176,1.47E+11,380372892.6,971977088.2,19952156475,42643836075,,,18703146375,1.36E+11,2.86E+12,708633194.7,370370370.4,2.64E+11,36119047252,1.03E+11,41507085000,89685725230,1098425901,1.16E+12,14006088297,12401139454,2.04E+11,3006725015,2.20E+12,1730894295,250149400,9578973591,2.52E+12,6410852596,10731634117,,2937071767,624173239.9,586795675.4,8217369093,2.48E+11,695370296.3,1849805733,27211377225,4197000000,824880550.3,1.82E+11,9672035709,45416358502,4310358096,1.13E+11,2.86E+11,2971167185,8.09E+11,2.12E+11,2.26E+11,49954890353,16691490114,1.42E+11,1.85E+12,11204416000,12588665303,4.76E+12,57123671734,18737897745,2460248026,6293046162,112133944.3,543167666.7,8.98E+11,80797945205,2735558726,21287562189,550000000,47334148578,951207366,3659251526,24405791045,1682350935,26125575942,37347394603,16922504045,12092222042,,62343022651,4280072626,2988338439,5039293031,1163362438,8.77E+11,137928600,6258600714,6245031690,6394851387,11986972419,2257174481,2523471532,1061000000,7723846195,2184445123,6283803256,3655909664,1.44E+11,7261333795,,3405134832,1.12E+11,6321335612,6.79E+11,3.09E+11,8130258041,,1.15E+11,31081924577,1.10E+11,16374393900,76060606061,1.03E+11,184683500,4865892972,3.06E+11,83914521300,,1.97E+11,8734653809,,44530494505,99697566668,7.64E+11,2581313486,3.28E+11,26524538566,8707015771,1.27E+11,413909879.3,1650494367,14698001400,1958711603,,26252007830,,125146438.7,1793754805,62697540107,36346974008,3.89E+11,3178126492,,919103254.5,28858965517,,6646663561,2115154262,1.89E+11,2312319579,8104355717,1813734851,262176133.7,15982282462,32273007554,5.01E+11,21839098.89,16929976600,9013834373,86142018069,17362857684,1.31E+13,14307509839,550728666.7,1.46E+11,,4439000000,57633255618,394962552.3,462649043,3736599925,16753769532,2.58E+11,8331870169,5755215200
2006,2421474860,7057598407,41789479932,8992642349,3543256806,2.22E+11,2.33E+11,6384451606,496000000,1157005444,7.46E+11,3.36E+11,20982986344,1273180597,4.10E+11,5142380779,5816310158,71819083684,34130122491,18505053191,10167250000,12866524918,36954312354,1217467600,5414299000,11451869165,1.11E+12,4246600000,11470703002,897731524.9,10126940513,1460561215,1.32E+12,4.31E+11,1.55E+11,2.75E+12,17800887796,19356046328,14451902468,7731261311,1.63E+11,406111873.5,1107891063,22600431878,52742800000,,3207032513,20403713461,1.55E+11,3.00E+12,768873684,390370370.4,2.83E+11,38116351526,1.17E+11,46802044000,1.07E+11,1211161880,1.26E+12,16963625016,15280861835,2.17E+11,3102741451,2.32E+12,1970135199,253372300,10318424464,2.69E+12,7745406201,20409668522,,4375865936,655070067.7,591839470.7,10086528699,2.73E+11,698700666.7,2013099482,30231249362,4213000000,1458449453,1.94E+11,10841742348,50453577898,4756204070,1.15E+11,3.65E+11,3344402193,9.20E+11,2.32E+11,2.66E+11,65140293688,17048647568,1.54E+11,1.94E+12,11905525197,15056929760,4.53E+12,81003884545,25825524821,2834168889,7274595707,108545632.5,636218037,1.01E+12,1.02E+11,3452882514,21796351575,604028900,54961936663,1134193630,4000239273,28267410543,1800105590,30216060233,42414308117,21447021570,14789661809,,68640825481,4663488363,3408272498,5515884349,1575200391,9.75E+11,143930000,6861222332,6899799786,6757119558,14502553710,2721904403,3414055566,990000000,8312078525,3040716679,7028803366,3997852636,1.63E+11,7978734402,,3646728060,1.45E+11,6763671611,7.27E+11,3.45E+11,9043715356,,1.12E+11,37215864759,1.37E+11,18141666300,88643193062,1.22E+11,188044800,8306343442,3.45E+11,87276164400,,2.09E+11,10646157920,,60882142857,1.24E+11,9.90E+11,3152324689,3.77E+11,35822408612,9358710935,1.48E+11,456705434,1885112202,15999886400,2092585623,,30607991862,,133324919,2626380435,70596729394,39587732029,4.20E+11,3291353836,,1016418229,33332844575,,7422102656,2202809251,2.22E+11,2830236054,10277598152,2657852897,294137737.1,18369070085,34378437265,5.52E+11,22902861.45,18610460327,9942597780,1.08E+11,19579457966,1.39E+13,17330833853,610930037,1.83E+11,,4504000000,66371664817,439376794.1,508503671.3,4078158324,19081722875,2.72E+11,12756858899,5443896500
2007,2623726257,9843842455,60448924662,10701011897,4016972351,2.58E+11,2.88E+11,9206301700,520000000,1311401333,8.52E+11,3.89E+11,33050343783,1356078278,4.72E+11,5969535132,6771277871,79611888213,44411476557,21730000000,10618340000,15776422673,45277399814,1290573400,5895048000,13120183157,1.40E+12,4523750000,12247694247,1196091805,10939053365,1697565949,1.46E+12,4.80E+11,1.74E+11,3.55E+12,20343635320,22365265026,16737071816,8394688284,2.07E+11,462453582.9,1513933983,26743874206,58603900000,,,24077470572,1.89E+11,3.44E+12,847918929.1,421375851.9,3.19E+11,44169678153,1.35E+11,51007777000,1.30E+11,1317974491,1.48E+12,22237061730,19707616773,2.55E+11,3405050612,2.66E+12,2278229880,256548100,12438956756,3.07E+12,10172869680,24758819718,,5836261225,798885556.5,695990208.4,13071718759,3.18E+11,758683592.6,2249811709,34113107086,4375000000,1740334782,2.12E+11,12275501784,60093222709,5885325590,1.40E+11,4.32E+11,5685988395,1.20E+12,2.70E+11,3.50E+11,88840050497,21319946740,1.79E+11,2.20E+12,12824094990,17110587447,4.52E+12,1.05E+11,31958195182,3802566171,8639235842,130754915.9,674008481.5,1.12E+12,1.15E+11,4222962988,24577114428,739027200,67516236338,1277494148,4601299567,32351184234,1820811281,39738180077,50888134410,30901399261,18340447243,,79041294874,5974371696,4401154128,7342923489,1868383461,1.05E+12,150776500,8336478142,8145694632,7880509171,20182477481,3680710375,4234999823,938000000,9366742309,3356757064,8150138757,4432192844,1.94E+11,8740865600,,4291363391,1.66E+11,7423377429,8.39E+11,4.01E+11,10325618017,20432742.11,1.37E+11,42085305592,1.52E+11,21295984200,1.02E+11,1.49E+11,193119700,9545071325,4.29E+11,89524131600,,2.40E+11,13794910634,,79712087912,1.76E+11,1.30E+12,3824788145,4.16E+11,45898948564,11284603071,1.80E+11,516074229,2158496873,17011750900,2488365727,,40289556656,,144616696.8,2936612022,86304245825,48114688201,4.88E+11,3469363996,,1033561654,40405006007,,8638711443,2523462557,2.63E+11,3719497371,12664165103,2881025963,300143056.9,21642304046,38908069299,6.76E+11,27030374.03,21501741757,12292813603,1.43E+11,23410572634,1.45E+13,22311393928,651833333.3,2.30E+11,,4803000000,77414425532,526428309.9,550970655.5,4833561456,21656517484,2.99E+11,14056957976,5291950100
2008,2791960894,10190529882,84178035579,12881352688,4007353157,3.15E+11,3.62E+11,11662040714,563000000,1368431037,1.05E+12,4.30E+11,48852482960,1611634332,5.19E+11,7132787397,8369637065,91631278239,54409138498,25710877660,10526000000,19112739664,60763483146,1368625150,6109928000,16674324634,1.70E+12,4607300000,14393099069,1258332337,10945070442,1985240986,1.55E+12,5.54E+11,1.80E+11,4.60E+12,24224903100,26409781215,19788515874,11859013281,2.44E+11,523134897,1789333749,30612932876,60806300000,,,27839460964,2.36E+11,3.75E+12,999105339.3,458190185.2,3.53E+11,48288967303,1.71E+11,61762635000,1.63E+11,1380188800,1.64E+12,24194039256,27066912635,2.84E+11,3523185920,2.92E+12,2413251996,262868600,15508574820,2.89E+12,12795044473,28526891010,,7009809997,965781078.2,864654795.3,19749893536,3.54E+11,825977888.9,2499107511,39136893345,4621000000,1922598121,2.19E+11,13789715133,70481451449,6548530572,1.58E+11,5.10E+11,5827468750,1.19E+12,2.75E+11,4.06E+11,1.32E+11,17658408759,2.16E+11,2.39E+12,13678606692,21972004086,5.04E+12,1.33E+11,35895153328,5139957785,10351914093,139125482.3,738942555.6,1.00E+12,1.47E+11,5443915121,29227350570,850040500,87140405361,1282215407,5081432924,40715240469,1870722801,47850551149,55849686539,35596016664,20917444920,,92507257784,6919241412,6054806101,9413002921,2271646188,1.11E+12,152788700,9909548411,9750822511,8977149553,31862554102,4545674528,5623216449,939000000,11494837053,3978425881,9990370016,5320925102,2.31E+11,8486721917,,5403363917,2.08E+11,8496965842,9.36E+11,4.63E+11,12545438605,39333572.32,1.33E+11,60905331599,1.70E+11,25155888600,1.21E+11,1.74E+11,196845300,11670678864,5.34E+11,93639316000,,2.62E+11,18504130753,,1.15E+11,2.14E+11,1.66E+12,4860093843,5.20E+11,54526580232,13439023281,1.92E+11,608293860.3,2505458705,17986886200,2752307016,,49259526053,,188021168.8,3532969035,1.00E+11,55589849128,5.14E+11,3294093485,,967199594,,,10351932604,3163416242,2.91E+11,5161336170,19271523179,4391333476,349484427.6,27870257894,44856586316,7.64E+11,30290219.76,27368386358,14239026630,1.80E+11,30366213119,1.47E+13,29549438884,695428851.9,3.16E+11,,4250000000,99130304099,607958616.1,644132488.9,5687488209,26910851362,2.87E+11,17910858638,4415702800
2009,2498932961,12486943506,75492385928,12044212904,3660530703,2.54E+11,3.33E+11,8647936748,678000000,1224253000,9.26E+11,4.00E+11,44291490421,1739781489,4.85E+11,7097198712,8369175126,1.02E+11,51884481410,22938218085,9981960000,17613836210,49209523810,1336957250,5806378000,17339992165,1.67E+12,4434050000,10732366286,1264758198,10267133178,1981732634,1.37E+12,5.42E+11,1.72E+11,5.11E+12,24277493862,26017925552,18648373312,9593537551,2.34E+11,524157261,1711817182,30562361123,62080000000,,,25942622951,2.06E+11,3.42E+12,1049110685,489074333.3,3.21E+11,48376555306,1.37E+11,62519686000,1.89E+11,1856695551,1.50E+12,19652492637,32437389116,2.51E+11,2870624636,2.69E+12,2257083699,279966700,12065138273,2.38E+12,10766809099,25977847814,,6493151288,900639534,826798659.8,15027795173,3.30E+11,771278111.1,2529948330,37733994976,4781000000,2061323854,2.14E+11,14587496229,62703143057,6584649419,1.31E+11,5.40E+11,5487083658,1.32E+12,2.36E+11,4.14E+11,1.12E+11,12944114736,2.07E+11,2.19E+12,12038829246,23820230000,5.23E+12,1.15E+11,37021512049,4690062255,10401851851,130465372,723209111.1,9.02E+11,1.06E+11,5832915387,35477118070,1155147400,63028320702,1262973407,4504549214,42067974595,1865963015,37440673478,51370543206,26169854045,21475520709,,92897320376,5557245122,5439422031,8550363975,2345294875,9.00E+11,152617500,9401731496,10181021770,8528202278,36906181381,4159330370,4583850368,795000000,10911698208,3670515288,9128843109,6190991712,2.02E+11,8876191121,,5397121856,1.69E+11,8298695145,8.58E+11,3.87E+11,12854985464,44290951.93,1.21E+11,48388296489,1.68E+11,27116635600,1.21E+11,1.68E+11,182679900,11619541940,4.40E+11,96385638000,,2.44E+11,15929902138,,97798351648,1.73E+11,1.22E+12,5378925895,4.29E+11,53150209168,12814961485,1.92E+11,597765363.1,2453899847,17601616000,2363156432,,42616653300,,187821029,3875409836,88945625174,50244793832,4.30E+11,3580417067,,847397850.1,,,9253484108,3163000529,2.82E+11,4979481980,20214385965,3199550317,318166562.8,19175196446,43454935940,6.45E+11,27101076.28,28573777052,18168902154,1.17E+11,31660911277,1.44E+13,33689223673,674922481.5,3.30E+11,,4203000000,1.06E+11,610066628.7,560959527.8,5653792720,25130274124,2.97E+11,15328342304,8621573600
2010,2467703911,15936800636,82526143645,11926953259,3355695364,2.90E+11,4.24E+11,9260284938,576000000,1152469074,1.14E+12,3.92E+11,52902703376,2026864469,4.84E+11,6970240895,8979966766,1.15E+11,50610058210,25713271277,10095760000,17176781337,57222490769,1397113450,5744414000,19649631308,2.21E+12,4461650000,13707370737,1585472534,12786654366,1986015906,1.61E+12,5.84E+11,2.19E+11,6.10E+12,24884505035,26143818510,21565722425,12007880439,2.87E+11,530493353.2,1664310770,37268635287,64328000000,,,25562251656,2.07E+11,3.42E+12,1128611700,493824407.4,3.22E+11,53982886258,1.61E+11,69555367000,2.19E+11,2117039512,1.43E+12,19490936349,29933790334,2.48E+11,3140508836,2.64E+12,2301168187,296525300,14358631634,2.44E+12,11638536834,32174772956,,6992497899,951806368.7,850633309.8,16298542028,2.99E+11,771015888.9,2503156061,41338595381,4895000000,2273225042,2.29E+11,15839344592,59829574391,6622541529,1.31E+11,7.55E+11,5920177689,1.66E+12,2.22E+11,4.87E+11,1.39E+11,13310567803,2.34E+11,2.13E+12,13191645686,26425379437,5.70E+12,1.48E+11,40000088347,4794357795,11242275199,153275912.7,705015370.4,1.09E+12,1.15E+11,7127792630,38419626628,1292697100,74773444901,1381968259,5082366478,56728002830,2385950664,37120517694,53212476812,23757368290,28123640999,,93216746662,5350674803,5811604052,8729936136,2588176055,1.06E+12,164969100,9407168702,10678749467,8741059603,49540813342,4139192053,7189481824,799000000,10154238250,4343665075,10003670690,6959697194,2.55E+11,11282192605,,5718589799,3.69E+11,8758622329,8.36E+11,4.29E+11,16002656434,49248810.57,1.47E+11,58642392718,1.77E+11,29440287600,1.48E+11,2.00E+11,182843800,14250726290,4.79E+11,98381268000,,2.38E+11,20030528043,,1.25E+11,1.67E+11,1.52E+12,5773084568,5.28E+11,65634109237,12948906289,2.36E+11,681151190,2578026297,18447922400,2139072848,,39460357731,,197454053.1,4368398048,89501012916,48013606745,4.88E+11,4438778424,,969936525.3,,,10657705536,3172945645,3.41E+11,5642178580,22583157895,3998696649,369485198.8,22157948396,44050929160,7.72E+11,31823518.62,31407908612,20186496527,1.36E+11,40284481652,1.50E+13,39332770929,681225963,3.93E+11,,4339000000,1.16E+11,700804286.2,643046733.4,5829933775,30906748941,3.75E+11,20265556274,10141859700
2011,2584463687,17930239400,1.04E+11,12890867539,3442062830,3.51E+11,5.30E+11,10142111334,574000000,1142042926,1.39E+12,4.31E+11,65951627200,2355652126,5.27E+11,7814081156,10724063458,1.29E+11,57418414504,28776595745,10070450000,18644723861,61757788945,1487005600,5550771000,23963033444,2.62E+12,4660900000,18525319978,1820207626,15682926896,2195599557,1.79E+12,7.00E+11,2.52E+11,7.57E+12,25381616734,29337006833,25839749199,14425607180,3.35E+11,586281766.8,1864824081,42262697840,68990000000,,,27427161523,2.28E+11,3.76E+12,1239144502,501025296.3,3.44E+11,57811180659,2.00E+11,79276664000,2.36E+11,2607739837,1.49E+12,23170239901,31952763089,2.74E+11,3774530616,2.86E+12,2468754075,310502100,18186515200,2.62E+12,14434619982,39566292433,,6511123904,898290989.9,1099385895,21329395901,2.88E+11,778648666.7,2684467376,47654841113,4928000000,2576024116,2.49E+11,17710315006,62375044443,7516834160,1.41E+11,8.93E+11,6142169524,1.82E+12,2.39E+11,5.84E+11,1.86E+11,14732689535,2.62E+11,2.28E+12,14439910353,28840263380,6.16E+12,1.93E+11,41954942417,6197766119,12829541141,177142135.1,753225963,1.20E+12,1.54E+11,8749241114,40075674163,1545400000,34699395524,1437684815,5739977477,65289915890,2788022889,43476873413,60004630234,28223552825,36709860068,,1.01E+11,6074884389,7015206498,9892702358,2774351760,1.18E+12,173260300,10494632699,12978107561,9507645260,59977326086,4538198499,10409797649,733000000,13131168012,5179690136,11518393367,8003300198,2.98E+11,12409629836,,6409169890,4.12E+11,9774316692,8.94E+11,4.99E+11,18913574371,72751801.05,1.68E+11,67937581274,2.14E+11,34686224300,1.72E+11,2.24E+11,193208100,17984816533,5.29E+11,1.00E+11,,2.45E+11,25099681461,,1.68E+11,1.84E+11,2.05E+12,6563320570,6.71E+11,67327289320,14390776644,2.76E+11,932725578.8,2942546781,20283783700,2054489853,,46466728667,17273335564,233213522.6,4422276622,98181259740,51290792018,5.63E+11,4820499924,,1065826670,,,12156380425,3756023160,3.71E+11,6522732203,29233333333,5681940845,423011844.3,25433011405,45810626509,8.33E+11,38711827.75,33878631649,20176025418,1.63E+11,47962439304,1.55E+13,45915191189,676129407.4,3.16E+11,,4239000000,1.36E+11,792149700.7,739785121.9,6686683347,32726417212,4.17E+11,23460098340,12098450700
